file_name,text
access-data-source-admin.png,a screenshot of a computer screen with a window showing the data source administrator
access-macros.png,a close up of a computer screen with a computer screen
bitbucket-create-repository.png,a close up of a computer screen with a login page
blender-editor.jpg,a close up of a video editing screen with a path in the background
blender-editor2.png,a close up of a computer screen with a computer screen showing a triangle
excel-advanced-filter.png,a close up of a cell phone with a dial on it
excel-convert-dialog.jpeg,a screenshot of a computer screen with a text box
excel-filters.png,a close up of a cell phone with a number of cell phones
excel-menu.png,a screenshot of the screen showing the options for the workbook
excel-old.jpg,a screenshot of a spreadsheet with a number of different items
excel-pivottable-dialog.jpg,a close up of a computer screen with a number of options
excel-pivottable-empty.jpg,a screenshot of a spreadsheet in excel 2010
excel-spreadsheet-small.png,a screenshot of a cell phone showing a cell phone screen with a cell phone and a cell phone
excel-spreadsheet.png,a screenshot of a spreadsheet with multiple columns and columns
gimp-editor-old.png,a close up of a computer screen with a color picker
gimp-editor.png,a close up of a computer screen with a picture of a cat
gmail-message.png,a close up of a keyboard with a message in the middle
hue-hiveql-editor.png,a close up of a computer screen with a bunch of text
jira-kanban.jpg,a close up of a calendar with a bunch of different items
krita-brust-editor.png,a close up of a computer screen with a number of items
libreoffice-base-wizard.png,a close up of a computer screen with a number of items
libreoffice-editor.jpg,a screenshot of a certificate in a computer screen shot
lives-editor.jpg,a close up of a video player with a camera and a video
oracle-fusion.jpg,a close up of a dashboard with a number of graphs
outlook-export-dialog.png,a screenshot of a window with a map and a description
outlook-export-dialog2.png,a screenshot of a computer screen with a message that reads export and export wizard
outlook-task.jpg,a close up of a computer screen with a number of items
powerpoint-editor.jpg,a close up of a computer screen with a picture of a cheese slice mosaic
sap-crm.JPG,a screenshot of a web page with a number of items
sap-login.png,a close up of a computer screen with a keyboard and a mouse
sap-new-entries.jpeg,a close up of a computer screen with a number of items
sap-save-dialog.png,a close up of a computer screen with a keyboard and a mouse
shotcut-editor.jpg,a close up of a person with a camera and a video editing software
superset-dashboard.png,a close up of a graph showing the number of people who are in the world
superset-dashboard2.png,a screenshot of a dashboard with a map and graphs
thunderbird-calendar.png,a close up of a calendar with a red arrow on it
thunderbird-inbox.png,arafed image of a webpage with a message in the middle
thunderbird-inbox2.png,a close up of a computer screen with a number of items
ubuntu-windows-3-11-emulator.png,a close up of a computer screen with a computer screen with a picture of a planet
vscode-editor-dark.png,a close up of a computer screen with a number of code
vscode-editor-light.jpg,a close up of a computer screen with a number of code
windows-default-application-dialog.png,a screenshot of the windows 10 application with the options to choose the file type
windows-registry-editor.jpg,a close up of a computer screen with a bunch of files
windows-settings-apps-features.png,a screenshot of a window with the app features options highlighted
windows-settings.png,windows settings in windows 10
windows-start-menu.png,a close up of a computer screen with a power and sleep settings highlighted
word-editor-2.jpg,a close up of a computer screen with a computer keyboard
word-editor-macos.png,a close up of a sheet of paper with a poem in it
word-editor-multicolumn.jpg,a close up of a menu page with a picture of a horse
word-editor-old.jpg,a close up of a computer screen with a wheel and a car
word-editor.jpg,a close up of a computer screen with a keyboard and a mouse
